Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
granit_econom;Дж 58 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 61 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 66 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 67 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 70 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 86 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 89 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Ме 30 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;16400;
granit_econom;Ме 38 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;14500;
granit_econom;Ме 46 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;14500;
granit_econom;Ме 202 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;16400;
granit_econom;Ме 223 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;14500;
granit_econom;Ме 225 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;14500;
granit_econom;Ме 236 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;15900;
granit_econom;Ме 237 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;16700;
granit_econom;Ме 239 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;16700;
granit_econom;Ме 501 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;14500;
granit_econom;Ме 502 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;15900;
granit_econom;Ме 513 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;16700;
